,English,Family Composition,Generation,Parents education,Family Income,athletic level,F1_Work(h/week),F2_College entrance,F2_transferred,F2_grant,F1_units in math,F1_Std Math,high school attendence,S-T relationship,School Urbanicity,%Hispanic teacher,%Hispanic_NR teacher,%white teacher,%Black teacher,%Asian teacher,%Hawaiian teacher,%Indian teacher,Number of school activities,credits(first year),9_12_GPA,F3_GPA(first year),F3_Highest level of education,Std Math/Reading,Ins_attended,F3_GPA(all),gender_Female,gender_Male,Race_Amer. Indian/Alaska Native,"Race_Asian, Hawaii/Pac. Islander",Race_Black or African American,Race_Hispanic,Race_More than one race,Race_White,Marital_Par_Married,Marital_Par_Married_chld,Marital_Par_Single,Marital_Par_Single_chld
25,0.0,4.0,1.0,6.0,10,2.0,2.0,4.0,0.0,1.0,4.0,58.62,5.0,0.069,1,5.0,0.0,92.0,3.0,0.0,0.0,0.0,4.0,31.0,5.0,3.25,1.0,57.72,2.0,3.0,1,0,0,1,0,0,0,0,0,0,1,0
27,1.0,1.0,3.0,4.0,11,0.0,4.0,3.0,0.0,1.0,6.0,64.62,5.0,0.069,1,5.0,0.0,92.0,3.0,0.0,0.0,0.0,0.0,24.0,4.0,3.25,1.0,71.11,1.0,3.25,0,1,0,0,0,0,0,1,0,0,1,0
33,1.0,1.0,3.0,2.0,8,1.0,8.0,3.0,1.0,0.0,4.0,46.51,5.0,0.324,1,1.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,9.0,4.0,1.25,0.0,51.31,1.0,1.0,0,1,0,0,0,0,0,1,0,0,1,0
36,1.0,1.0,3.0,4.0,9,2.0,0.0,3.0,0.0,1.0,4.0,56.48,5.0,0.324,1,1.0,0.0,98.0,2.0,0.0,0.0,0.0,1.0,29.0,6.0,2.25,1.0,58.65,2.0,2.5,1,0,0,0,0,0,0,1,0,0,1,0
102,1.0,1.0,3.0,6.0,11,2.0,2.0,4.0,0.0,1.0,4.0,53.01,5.0,0.324,1,5.0,0.0,85.0,10.0,0.0,0.0,0.0,1.0,27.0,6.0,3.5,1.0,57.22,1.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
105,1.0,1.0,3.0,6.0,10,0.0,6.0,3.0,0.0,0.0,3.0,59.59,5.0,0.324,1,5.0,0.0,85.0,10.0,0.0,0.0,0.0,0.0,29.0,5.0,3.75,1.0,54.82,1.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
111,1.0,5.0,3.0,6.0,9,2.0,5.0,3.0,0.0,1.0,3.0,45.09,5.0,0.997,1,5.0,0.0,85.0,10.0,0.0,0.0,0.0,1.0,28.0,3.0,2.0,1.0,51.98,1.0,2.5,1,0,0,0,1,0,0,0,0,0,1,0
119,1.0,1.0,3.0,7.0,11,2.0,2.0,4.0,0.0,1.0,4.0,63.64,5.0,1.189,1,5.0,0.0,85.0,10.0,0.0,0.0,0.0,1.0,30.0,5.0,2.0,0.0,58.48,2.0,2.75,0,1,0,0,0,0,0,1,0,0,1,0
121,1.0,5.0,3.0,5.0,11,1.0,6.0,4.0,0.0,0.0,3.0,56.64,5.0,0.069,1,5.0,0.0,85.0,10.0,0.0,0.0,0.0,1.0,24.0,4.0,2.0,1.0,50.32,1.0,2.0,0,1,0,0,0,0,0,1,0,0,1,0
215,1.0,1.0,3.0,7.0,12,2.0,3.0,4.0,0.0,1.0,4.0,63.83,5.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,32.0,5.0,3.0,1.0,63.87,2.0,3.25,0,1,0,0,0,0,0,1,0,0,1,0
223,1.0,1.0,3.0,2.0,10,2.0,2.0,4.0,0.0,1.0,4.0,55.25,5.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,32.0,5.0,3.5,1.0,49.92,2.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
285,1.0,1.0,3.0,2.0,7,0.0,2.0,4.0,0.0,1.0,4.0,68.19,5.0,0.069,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,34.0,6.0,3.0,1.0,61.15,2.0,3.0,0,1,0,0,0,0,0,1,0,0,1,0
287,1.0,1.0,3.0,4.0,8,2.0,3.0,2.0,0.0,1.0,4.0,47.94,5.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,30.0,5.0,3.0,1.0,47.38,1.0,2.75,0,1,0,0,0,0,0,1,0,0,1,0
289,1.0,2.0,3.0,2.0,10,2.0,5.0,3.0,0.0,0.0,4.0,47.99,5.0,0.934,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,29.0,4.0,2.0,1.0,53.68,1.0,2.75,0,1,0,0,0,0,0,1,0,0,1,0
293,1.0,1.0,3.0,2.0,11,1.0,4.0,3.0,0.0,1.0,4.0,49.75,5.0,1.862,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,32.0,5.0,2.75,1.0,57.04,1.0,3.0,1,0,0,0,0,0,0,1,0,0,1,0
295,1.0,1.0,3.0,2.0,6,0.0,2.0,4.0,0.0,1.0,5.0,63.69,5.0,0.997,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,42.0,6.0,3.25,1.0,59.79,1.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
318,1.0,1.0,3.0,6.0,9,3.0,3.0,4.0,0.0,1.0,3.0,66.23,5.0,0.069,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,3.0,1.0,59.59,2.0,3.25,0,1,0,0,0,0,0,1,0,0,1,0
355,0.0,1.0,1.0,8.0,9,2.0,1.0,4.0,0.0,1.0,4.0,72.59,5.0,0.934,2,2.0,0.0,96.0,2.0,0.0,0.0,0.0,3.0,27.0,6.0,3.75,0.0,74.36,2.0,3.5,1,0,0,1,0,0,0,0,0,0,1,0
358,1.0,1.0,3.0,6.0,9,2.0,1.0,4.0,0.0,1.0,4.0,74.97,5.0,0.997,2,2.0,0.0,96.0,2.0,0.0,0.0,0.0,2.0,29.0,6.0,3.75,1.0,61.8,2.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
362,1.0,1.0,3.0,6.0,12,2.0,3.0,3.0,0.0,1.0,5.0,68.05,5.0,2.349,2,2.0,0.0,96.0,2.0,0.0,0.0,0.0,0.0,29.0,6.0,3.75,1.0,61.89,2.0,3.5,0,1,0,0,0,0,0,1,0,0,1,0
363,1.0,1.0,3.0,6.0,11,2.0,2.0,3.0,0.0,1.0,4.0,60.59,5.0,0.448,2,2.0,0.0,96.0,2.0,0.0,0.0,0.0,0.0,28.0,5.0,3.25,0.0,62.55,2.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
364,1.0,5.0,3.0,8.0,9,0.0,2.0,3.0,0.0,1.0,4.0,68.48,5.0,0.324,2,2.0,0.0,96.0,2.0,0.0,0.0,0.0,3.0,23.0,6.0,3.25,1.0,69.1,1.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
366,0.0,1.0,2.0,8.0,10,1.0,0.0,4.0,0.0,1.0,5.0,65.61,5.0,0.324,2,2.0,0.0,96.0,2.0,0.0,0.0,0.0,2.0,32.0,6.0,3.75,1.0,59.26,2.0,3.75,1,0,0,1,0,0,0,0,0,0,1,0
378,1.0,1.0,3.0,4.0,8,1.0,4.0,3.0,0.0,0.0,4.0,50.69,5.0,1.862,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,32.0,3.0,3.0,1.0,55.04,1.0,3.25,0,1,0,0,0,0,0,1,0,0,1,0
380,1.0,1.0,3.0,6.0,10,3.0,5.0,4.0,1.0,0.0,3.0,57.08,5.0,1.862,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,3.5,0.0,60.29,1.0,1.75,0,1,0,0,0,0,0,1,0,0,1,0
383,1.0,1.0,3.0,6.0,11,2.0,4.0,3.0,1.0,0.0,4.0,51.67,5.0,0.324,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,3.0,25.0,4.0,1.5,1.0,58.07,1.0,2.75,1,0,0,0,0,0,0,1,0,0,1,0
385,1.0,1.0,3.0,4.0,10,1.0,3.0,4.0,0.0,1.0,4.0,58.82,5.0,0.324,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,31.0,6.0,3.0,1.0,62.31,1.0,3.25,0,1,0,0,0,0,0,1,0,0,1,0
424,1.0,1.0,3.0,7.0,11,1.0,0.0,4.0,0.0,1.0,4.0,60.5,5.0,0.579,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,2.0,36.0,6.0,3.5,1.0,61.4,2.0,3.75,0,1,0,0,0,0,0,1,0,0,1,0
428,1.0,1.0,3.0,2.0,9,2.0,8.0,4.0,0.0,1.0,3.0,54.64,5.0,1.252,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,33.0,6.0,3.25,1.0,63.04,1.0,3.25,0,1,0,0,0,0,0,1,0,0,1,0
430,1.0,1.0,3.0,7.0,12,2.0,0.0,3.0,0.0,0.0,4.0,72.5,5.0,0.324,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,34.0,6.0,3.5,1.0,68.72,2.0,3.75,0,1,0,0,0,0,0,1,0,0,1,0
432,1.0,1.0,1.0,7.0,11,1.0,4.0,3.0,1.0,0.0,4.0,61.03,5.0,0.579,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,3.0,33.0,5.0,3.5,1.0,61.78,1.0,3.5,1,0,0,1,0,0,0,0,0,0,1,0
433,1.0,5.0,3.0,8.0,9,2.0,7.0,3.0,1.0,1.0,4.0,49.28,5.0,1.189,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,31.0,4.0,2.75,1.0,48.26,2.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
436,1.0,1.0,2.0,4.0,8,0.0,3.0,4.0,0.0,1.0,4.0,68.74,5.0,2.349,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,3.0,33.0,6.0,3.25,1.0,62.83,1.0,3.0,0,1,0,0,0,0,0,1,0,0,1,0
526,1.0,1.0,3.0,4.0,10,0.0,3.0,4.0,0.0,1.0,3.0,66.87,5.0,0.579,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,30.0,6.0,3.75,1.0,68.85,2.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
529,1.0,1.0,3.0,4.0,10,1.0,1.0,3.0,0.0,0.0,2.0,52.38,5.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,24.0,4.0,2.0,0.0,55.2,1.0,2.25,1,0,0,0,0,0,0,1,0,0,1,0
532,1.0,1.0,3.0,4.0,10,2.0,4.0,3.0,0.0,1.0,4.0,58.01,5.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,38.0,6.0,2.75,1.0,60.35,2.0,3.0,0,1,0,0,0,0,0,1,0,0,1,0
533,1.0,1.0,3.0,7.0,10,2.0,4.0,4.0,0.0,1.0,4.0,59.85,5.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,33.0,5.0,3.5,0.0,68.43,2.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
544,1.0,1.0,3.0,8.0,9,2.0,0.0,3.0,0.0,1.0,3.0,56.94,5.0,0.324,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,33.0,6.0,3.75,1.0,58.9,1.0,3.75,0,1,0,0,0,0,0,1,0,0,1,0
545,1.0,2.0,3.0,2.0,4,1.0,4.0,2.0,0.0,1.0,3.0,51.57,5.0,0.324,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,33.0,5.0,3.25,0.0,56.54,1.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
547,1.0,2.0,3.0,2.0,3,2.0,4.0,3.0,0.0,1.0,3.0,52.24,5.0,0.324,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,34.0,5.0,3.25,1.0,57.55,1.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
550,1.0,1.0,3.0,3.0,9,2.0,8.0,4.0,0.0,1.0,4.0,51.97,5.0,0.324,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,25.0,5.0,2.75,1.0,51.58,2.0,3.25,0,1,0,0,0,0,0,1,0,0,1,0
552,1.0,1.0,3.0,5.0,10,0.0,7.0,3.0,1.0,0.0,4.0,40.61,5.0,0.579,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,15.0,3.0,2.0,0.0,42.68,1.0,2.25,1,0,0,0,0,0,0,1,0,0,1,0
555,1.0,1.0,3.0,5.0,10,2.0,3.0,3.0,0.0,1.0,3.0,51.88,5.0,0.579,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,32.0,4.0,2.75,1.0,58.43,1.0,2.75,1,0,0,0,0,0,0,1,0,0,1,0
556,1.0,1.0,3.0,6.0,10,2.0,2.0,2.0,0.0,1.0,3.0,48.64,5.0,0.934,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,31.0,4.0,3.0,0.0,48.99,2.0,2.5,1,0,0,0,0,0,0,1,0,0,1,0
559,1.0,3.0,3.0,4.0,10,0.0,9.0,1.0,0.0,0.0,3.0,49.8,5.0,0.934,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,35.0,5.0,2.5,0.0,49.69,2.0,2.25,0,1,0,0,0,0,0,1,0,0,1,0
563,0.0,1.0,2.0,7.0,10,2.0,0.0,4.0,0.0,1.0,4.0,71.07,5.0,0.324,2,1.0,0.0,98.0,0.0,0.0,0.0,0.0,1.0,26.0,4.0,2.5,1.0,72.41,2.0,3.0,0,1,0,1,0,0,0,0,0,0,1,0
564,1.0,1.0,3.0,8.0,13,3.0,5.0,4.0,1.0,0.0,3.0,56.14,5.0,0.324,2,1.0,0.0,98.0,0.0,0.0,0.0,0.0,2.0,32.0,4.0,3.5,1.0,56.68,2.0,3.5,0,1,0,0,0,0,0,1,0,0,1,0
566,1.0,1.0,2.0,4.0,12,2.0,2.0,3.0,0.0,0.0,5.0,61.14,5.0,0.324,2,1.0,0.0,98.0,0.0,0.0,0.0,0.0,1.0,27.0,4.0,2.75,1.0,56.23,1.0,2.25,0,1,0,0,0,0,1,0,0,0,1,0
568,1.0,1.0,3.0,5.0,11,1.0,4.0,4.0,0.0,1.0,3.0,63.64,5.0,1.607,2,1.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,2.25,1.0,63.41,1.0,2.75,1,0,0,0,0,0,0,1,0,0,1,0
574,1.0,2.0,3.0,6.0,13,0.0,5.0,3.0,0.0,0.0,4.0,56.86,5.0,0.324,2,1.0,0.0,98.0,0.0,0.0,0.0,0.0,3.0,26.0,3.0,2.5,0.0,52.25,1.0,2.75,1,0,0,0,0,0,0,1,0,0,1,0
594,1.0,1.0,3.0,4.0,9,2.0,4.0,2.0,0.0,1.0,4.0,51.32,5.0,0.324,2,1.0,0.0,98.0,1.0,0.0,0.0,0.0,1.0,31.0,4.0,3.25,1.0,50.34,2.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
598,0.0,2.0,1.0,6.0,12,2.0,2.0,3.0,0.0,0.0,4.0,53.71,5.0,0.997,2,1.0,0.0,98.0,1.0,0.0,0.0,0.0,1.0,30.0,5.0,3.75,1.0,63.36,2.0,3.25,0,1,0,0,0,1,0,0,0,0,1,0
608,1.0,1.0,3.0,3.0,11,0.0,2.0,3.0,0.0,1.0,4.0,60.11,5.0,0.324,2,1.0,0.0,98.0,1.0,0.0,0.0,0.0,2.0,33.0,5.0,3.25,1.0,51.98,2.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
650,1.0,1.0,3.0,6.0,10,2.0,2.0,4.0,0.0,1.0,4.0,66.16,5.0,0.069,2,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,2.25,1.0,62.16,2.0,2.5,0,1,0,0,0,0,0,1,0,0,1,0
651,1.0,1.0,3.0,6.0,10,2.0,0.0,3.0,1.0,1.0,4.0,49.2,5.0,0.324,2,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,3.75,1.0,52.2,2.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
656,1.0,1.0,3.0,6.0,10,2.0,2.0,3.0,0.0,0.0,3.0,39.73,5.0,0.324,2,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,3.0,1.0,53.82,2.0,3.0,0,1,0,0,0,0,0,1,0,0,1,0
657,0.0,1.0,3.0,3.0,9,1.0,1.0,2.0,0.0,1.0,4.0,50.45,5.0,0.579,2,2.0,0.0,98.0,0.0,0.0,0.0,0.0,2.0,28.0,4.0,3.25,0.0,53.76,1.0,2.75,1,0,0,0,0,0,0,1,0,0,1,0
673,1.0,1.0,3.0,6.0,10,2.0,0.0,3.0,0.0,1.0,4.0,60.71,5.0,1.421,2,2.0,0.0,98.0,0.0,0.0,0.0,0.0,2.0,32.0,5.0,3.25,1.0,61.89,2.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
675,1.0,1.0,3.0,7.0,12,2.0,0.0,4.0,0.0,0.0,4.0,68.74,5.0,1.607,2,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,3.5,1.0,76.37,2.0,3.5,0,1,0,0,0,0,0,1,0,0,1,0
680,1.0,2.0,3.0,5.0,11,0.0,4.0,1.0,0.0,1.0,4.0,69.21,5.0,0.934,2,0.0,0.0,97.0,0.0,0.0,0.0,3.0,4.0,35.0,5.0,3.5,1.0,55.38,2.0,3.5,1,0,1,0,0,0,0,0,0,0,1,0
692,1.0,1.0,3.0,2.0,10,2.0,4.0,1.0,0.0,1.0,5.0,61.95,5.0,0.324,2,0.0,0.0,97.0,0.0,0.0,0.0,3.0,1.0,32.0,4.0,3.25,0.0,59.19,2.0,2.75,0,1,0,0,0,0,0,1,0,0,1,0
769,1.0,1.0,3.0,6.0,8,2.0,4.0,2.0,0.0,1.0,5.0,30.0,5.0,0.997,2,1.0,0.0,83.0,17.0,0.0,0.0,0.0,1.0,30.0,3.0,3.25,1.0,39.95,2.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
773,1.0,1.0,3.0,6.0,11,0.0,3.0,3.0,1.0,0.0,4.0,53.19,5.0,1.12,2,1.0,0.0,83.0,17.0,0.0,0.0,0.0,0.0,32.0,5.0,3.5,1.0,51.37,2.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
776,1.0,1.0,3.0,6.0,10,0.0,4.0,3.0,0.0,1.0,4.0,53.59,5.0,1.607,2,1.0,0.0,83.0,17.0,0.0,0.0,0.0,2.0,43.0,6.0,3.75,1.0,55.41,1.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
778,1.0,1.0,3.0,6.0,10,2.0,3.0,1.0,0.0,0.0,4.0,49.26,5.0,0.324,2,1.0,0.0,83.0,17.0,0.0,0.0,0.0,0.0,19.0,5.0,2.5,1.0,49.58,2.0,2.5,0,1,0,1,0,0,0,0,0,0,1,0
910,1.0,9.0,3.0,6.0,10,1.0,4.0,2.0,0.0,1.0,4.0,51.82,5.0,2.094,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,32.0,5.0,2.5,1.0,49.69,1.0,2.5,1,0,0,0,0,0,0,1,0,0,1,0
911,1.0,1.0,3.0,6.0,12,0.0,5.0,4.0,0.0,0.0,4.0,61.78,5.0,0.324,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,32.0,3.0,2.25,1.0,54.82,1.0,2.25,0,1,0,0,0,0,0,1,0,0,1,0
913,1.0,1.0,3.0,6.0,12,3.0,3.0,3.0,0.0,1.0,3.0,57.51,5.0,1.676,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,24.0,4.0,1.75,0.0,65.07,2.0,1.0,1,0,0,0,0,0,0,1,0,0,1,0
919,1.0,1.0,3.0,6.0,12,3.0,3.0,3.0,0.0,1.0,3.0,58.18,5.0,0.934,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,34.0,5.0,3.0,1.0,62.84,1.0,3.0,1,0,0,0,0,0,0,1,0,0,1,0
928,1.0,5.0,3.0,4.0,10,2.0,2.0,4.0,0.0,1.0,4.0,61.67,5.0,0.324,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,28.0,5.0,3.75,1.0,69.31,2.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
932,1.0,1.0,3.0,6.0,11,2.0,5.0,3.0,0.0,0.0,4.0,62.15,5.0,0.68,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,22.0,5.0,2.0,1.0,60.62,1.0,2.5,0,1,0,0,0,0,0,1,0,0,1,0
933,1.0,1.0,3.0,2.0,10,2.0,3.0,4.0,0.0,0.0,3.0,57.53,5.0,0.324,2,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,2.5,0.0,57.03,1.0,3.0,0,1,0,0,0,0,0,1,0,0,1,0
945,1.0,1.0,3.0,7.0,10,0.0,1.0,2.0,0.0,0.0,3.0,56.48,5.0,1.352,2,2.0,0.0,96.0,4.0,0.0,0.0,0.0,1.0,35.0,6.0,3.5,1.0,57.97,1.0,3.75,0,1,0,0,0,0,0,1,0,0,1,0
956,1.0,1.0,1.0,6.0,12,0.0,5.0,3.0,0.0,1.0,3.0,63.99,5.0,0.324,2,2.0,0.0,96.0,4.0,0.0,0.0,0.0,6.0,11.0,6.0,3.25,0.0,61.91,2.0,3.5,1,0,0,1,0,0,0,0,0,0,1,0
964,0.0,1.0,2.0,3.0,12,1.0,0.0,3.0,0.0,1.0,4.0,61.19,5.0,0.324,2,2.0,0.0,96.0,4.0,0.0,0.0,0.0,1.0,25.0,5.0,2.5,1.0,61.6,2.0,3.0,0,1,0,1,0,0,0,0,0,0,1,0
1022,1.0,2.0,2.0,2.0,11,3.0,4.0,2.0,0.0,1.0,3.0,58.33,5.0,1.584,2,5.0,0.0,86.0,9.0,0.0,0.0,0.0,2.0,18.0,4.0,3.5,1.0,55.84,1.0,3.25,0,1,0,0,0,1,0,0,0,0,1,0
1029,1.0,1.0,3.0,3.0,9,2.0,4.0,4.0,1.0,1.0,4.0,57.62,5.0,0.934,2,5.0,0.0,86.0,9.0,0.0,0.0,0.0,1.0,27.0,4.0,2.75,1.0,55.18,1.0,2.25,0,1,0,0,0,0,0,1,0,0,1,0
1032,0.0,1.0,1.0,2.0,3,0.0,0.0,2.0,0.0,1.0,4.0,57.87,5.0,0.997,2,5.0,0.0,86.0,9.0,0.0,0.0,0.0,1.0,14.0,6.0,3.75,1.0,53.53,1.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
1127,0.0,1.0,1.0,6.0,12,0.0,2.0,3.0,1.0,1.0,4.0,50.26,5.0,0.069,2,1.0,0.0,95.0,3.0,1.0,0.0,0.0,1.0,22.0,5.0,1.75,0.0,53.45,2.0,1.75,1,0,0,1,0,0,0,0,0,0,1,0
1138,1.0,2.0,3.0,6.0,12,2.0,5.0,3.0,0.0,1.0,4.0,48.25,5.0,0.324,2,1.0,0.0,95.0,3.0,1.0,0.0,0.0,2.0,30.0,4.0,3.0,1.0,48.51,2.0,3.25,1,0,0,0,1,0,0,0,0,0,1,0
1145,0.0,1.0,2.0,6.0,8,1.0,0.0,3.0,0.0,1.0,4.0,56.43,5.0,1.607,2,1.0,0.0,95.0,3.0,1.0,0.0,0.0,1.0,19.0,5.0,3.75,1.0,54.59,1.0,3.5,1,0,0,1,0,0,0,0,0,0,1,0
1150,0.0,2.0,1.0,2.0,10,0.0,5.0,4.0,0.0,1.0,5.0,65.05,5.0,0.324,2,1.0,0.0,95.0,3.0,1.0,0.0,0.0,0.0,30.0,6.0,3.75,1.0,51.97,1.0,3.25,1,0,0,1,0,0,0,0,0,0,1,0
1151,0.0,5.0,2.0,6.0,9,0.0,8.0,3.0,0.0,0.0,5.0,55.62,5.0,0.069,2,1.0,0.0,95.0,3.0,1.0,0.0,0.0,0.0,25.0,5.0,3.25,1.0,46.96,1.0,3.0,0,1,0,1,0,0,0,0,0,0,1,0
1153,1.0,1.0,2.0,8.0,12,1.0,0.0,4.0,0.0,1.0,4.0,74.97,5.0,0.934,2,1.0,0.0,95.0,3.0,1.0,0.0,0.0,5.0,37.0,6.0,3.25,1.0,79.02,2.0,3.25,0,1,0,1,0,0,0,0,0,0,1,0
1166,1.0,1.0,3.0,2.0,8,1.0,4.0,1.0,0.0,0.0,5.0,68.69,5.0,0.324,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,4.0,0.0,60.92,2.0,4.0,0,1,0,0,0,0,0,1,0,0,1,0
1171,1.0,1.0,3.0,3.0,9,1.0,4.0,3.0,0.0,1.0,4.0,56.24,5.0,0.324,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,30.0,6.0,3.75,1.0,59.74,1.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
1182,1.0,1.0,3.0,4.0,10,0.0,1.0,4.0,0.0,1.0,5.0,65.56,5.0,0.324,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,33.0,6.0,4.0,1.0,64.16,1.0,4.0,1,0,0,0,0,0,0,1,0,0,1,0
1184,1.0,9.0,3.0,3.0,9,2.0,1.0,3.0,0.0,1.0,4.0,47.35,5.0,1.189,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,8.0,6.0,3.5,1.0,56.16,2.0,3.75,1,0,0,0,0,0,0,1,0,0,1,0
1185,1.0,1.0,3.0,4.0,10,2.0,0.0,1.0,0.0,1.0,3.0,49.45,5.0,0.324,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,29.0,5.0,2.75,1.0,45.39,1.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
1188,1.0,1.0,3.0,6.0,10,2.0,3.0,4.0,0.0,1.0,4.0,64.58,5.0,0.324,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,34.0,6.0,4.0,1.0,62.98,2.0,4.0,1,0,0,0,0,0,0,1,0,0,1,0
1194,1.0,1.0,3.0,3.0,11,0.0,2.0,3.0,0.0,0.0,4.0,56.89,5.0,1.862,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,28.0,6.0,2.75,1.0,61.65,1.0,3.0,1,0,0,0,0,0,0,1,0,0,1,0
1207,1.0,1.0,3.0,4.0,11,2.0,0.0,4.0,0.0,1.0,4.0,61.19,5.0,0.68,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,34.0,6.0,3.75,1.0,61.73,2.0,4.0,1,0,0,0,0,0,0,1,0,0,1,0
1208,1.0,1.0,3.0,6.0,10,0.0,0.0,3.0,0.0,1.0,4.0,60.18,5.0,0.997,3,1.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,34.0,6.0,3.0,1.0,57.68,2.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
1310,1.0,1.0,1.0,2.0,9,1.0,4.0,4.0,1.0,0.0,4.0,53.32,5.0,0.069,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,2.75,1.0,60.9,1.0,2.75,0,1,0,0,0,0,1,0,0,0,1,0
1313,1.0,9.0,3.0,2.0,3,2.0,2.0,2.0,0.0,1.0,4.0,48.39,5.0,2.094,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,23.0,4.0,2.5,1.0,52.07,1.0,3.0,1,0,0,0,0,0,0,1,0,0,1,0
