,English,Family Composition,Generation,Parents education,Family Income,athletic level,F1_Work(h/week),F2_College entrance,F2_transferred,F2_grant,F1_units in math,F1_Std Math,high school attendence,S-T relationship,School Urbanicity,%Hispanic teacher,%Hispanic_NR teacher,%white teacher,%Black teacher,%Asian teacher,%Hawaiian teacher,%Indian teacher,Number of school activities,credits(first year),9_12_GPA,F3_GPA(first year),F3_Highest level of education,Std Math/Reading,Ins_attended,F3_GPA(all),gender_Female,gender_Male,Race_Amer. Indian/Alaska Native,"Race_Asian, Hawaii/Pac. Islander",Race_Black or African American,Race_Hispanic,Race_More than one race,Race_White,Marital_Par_Married,Marital_Par_Married_chld,Marital_Par_Single,Marital_Par_Single_chld
14596,1.0,1.0,3.0,8.0,11,2.0,6.0,4.0,0.0,1.0,4.0,54.47,6.0,0.069,2,3.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,21.0,5.0,3.5,1.0,58.7,2.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
14604,1.0,5.0,1.0,8.0,9,0.0,2.0,3.0,0.0,0.0,4.0,61.27,6.0,0.324,2,4.0,0.0,94.0,2.0,0.0,0.0,0.0,4.0,33.0,4.0,2.25,1.0,61.06,2.0,2.75,0,1,0,0,0,1,0,0,0,0,1,0
14606,1.0,1.0,3.0,7.0,12,0.0,1.0,3.0,0.0,1.0,4.0,56.54,6.0,0.069,2,4.0,0.0,94.0,2.0,0.0,0.0,0.0,1.0,35.0,5.0,3.5,1.0,53.73,2.0,3.5,1,0,0,0,0,0,0,1,0,0,1,0
14612,1.0,1.0,3.0,6.0,11,0.0,5.0,3.0,1.0,0.0,4.0,52.31,6.0,0.324,2,4.0,0.0,94.0,2.0,0.0,0.0,0.0,6.0,36.0,5.0,3.25,1.0,57.24,1.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
14613,1.0,1.0,3.0,7.0,12,2.0,4.0,1.0,1.0,1.0,4.0,52.12,6.0,1.252,2,4.0,0.0,94.0,2.0,0.0,0.0,0.0,4.0,28.0,3.0,3.25,1.0,60.53,2.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
14614,1.0,1.0,3.0,6.0,8,1.0,8.0,4.0,1.0,1.0,4.0,62.6,6.0,0.387,2,4.0,0.0,94.0,2.0,0.0,0.0,0.0,0.0,28.0,4.0,2.75,1.0,67.02,1.0,2.75,0,1,0,0,0,0,0,1,0,0,1,0
14618,1.0,5.0,2.0,8.0,12,1.0,6.0,3.0,0.0,0.0,4.0,64.35,6.0,1.607,2,4.0,0.0,94.0,2.0,0.0,0.0,0.0,6.0,28.0,5.0,2.5,1.0,56.58,1.0,2.25,0,1,0,0,1,0,0,0,0,0,1,0
14619,1.0,1.0,3.0,6.0,11,0.0,2.0,4.0,0.0,1.0,4.0,65.53,6.0,2.349,2,4.0,0.0,94.0,2.0,0.0,0.0,0.0,1.0,30.0,6.0,3.75,1.0,64.01,2.0,3.75,0,1,0,0,0,0,0,1,0,0,1,0
14623,1.0,1.0,3.0,7.0,12,2.0,3.0,2.0,0.0,0.0,4.0,51.58,6.0,0.324,2,4.0,0.0,94.0,2.0,0.0,0.0,0.0,0.0,32.0,2.0,2.0,1.0,55.24,1.0,2.75,0,1,0,0,0,0,0,1,0,0,1,0
14626,1.0,1.0,2.0,8.0,8,1.0,2.0,2.0,0.0,1.0,4.0,56.46,6.0,0.324,2,4.0,0.0,94.0,2.0,0.0,0.0,0.0,1.0,32.0,4.0,2.5,0.0,56.1,2.0,2.5,0,1,0,0,1,0,0,0,0,0,1,0
14628,1.0,1.0,2.0,6.0,12,0.0,0.0,2.0,0.0,0.0,4.0,49.68,6.0,0.997,2,4.0,0.0,94.0,2.0,0.0,0.0,0.0,4.0,27.0,3.0,2.0,1.0,50.21,1.0,2.5,1,0,0,0,1,0,0,0,0,0,1,0
14629,0.0,5.0,2.0,6.0,12,1.0,3.0,4.0,0.0,1.0,4.0,53.73,6.0,0.324,2,4.0,0.0,94.0,2.0,0.0,0.0,0.0,1.0,33.0,3.0,2.5,1.0,58.87,2.0,2.75,1,0,0,0,1,0,0,0,0,0,1,0
14789,1.0,1.0,3.0,7.0,12,2.0,0.0,3.0,0.0,0.0,4.0,57.47,6.0,0.069,1,3.0,0.0,94.0,3.0,0.0,0.0,3.0,2.0,9.0,5.0,3.5,1.0,61.72,2.0,3.5,0,1,0,0,0,0,0,1,0,0,1,0
14791,1.0,1.0,3.0,8.0,12,2.0,0.0,3.0,0.0,1.0,4.0,67.75,6.0,1.607,1,3.0,0.0,94.0,3.0,0.0,0.0,3.0,4.0,9.0,6.0,3.25,0.0,68.62,2.0,3.25,1,0,0,0,0,0,0,1,0,0,1,0
14813,1.0,1.0,3.0,7.0,13,2.0,0.0,3.0,0.0,0.0,4.0,64.08,6.0,0.069,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,3.75,1.0,63.74,2.0,3.5,0,1,0,0,0,0,0,1,0,0,1,0
14815,1.0,1.0,3.0,6.0,10,2.0,2.0,2.0,0.0,1.0,4.0,47.85,6.0,0.579,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,2.5,1.0,49.35,2.0,2.75,0,1,0,0,0,0,0,1,0,0,1,0
14816,1.0,1.0,3.0,8.0,11,1.0,0.0,3.0,0.0,1.0,3.0,62.62,6.0,1.421,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,8.0,5.0,3.5,1.0,57.44,2.0,3.5,0,1,0,0,0,0,0,1,0,0,1,0
