,English,Family Composition,Generation,Parents education,Family Income,athletic level,F1_Work(h/week),F2_College entrance,F2_transferred,F2_grant,F1_units in math,F1_Std Math,high school attendence,S-T relationship,School Urbanicity,%Hispanic teacher,%Hispanic_NR teacher,%white teacher,%Black teacher,%Asian teacher,%Hawaiian teacher,%Indian teacher,Number of school activities,credits(first year),9_12_GPA,F3_GPA(first year),F3_Highest level of education,Std Math/Reading,Ins_attended,F3_GPA(all),gender_Female,Asian,Black,Hispanic,More_than_one,White,Marital_Par_Married,Marital_Par_Married_chld,Marital_Par_Single,Marital_Par_Single_chld,pell_grant
20,1.0,1.0,3.0,6.0,10,3.0,5.0,4.0,1.0,0.0,3.0,57.08,5.0,1.862,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,3.5,0.0,60.29,1.0,1.75,0,0,0,0,0,1,0,0,1,0,0
21,1.0,1.0,3.0,6.0,11,2.0,4.0,3.0,1.0,0.0,4.0,51.67,5.0,0.324,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,3.0,25.0,4.0,1.5,1.0,58.07,1.0,2.75,1,0,0,0,0,1,0,0,1,0,0
22,1.0,1.0,3.0,4.0,10,1.0,3.0,4.0,0.0,1.0,4.0,58.82,5.0,0.324,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,31.0,6.0,3.0,1.0,62.31,1.0,3.25,0,0,0,0,0,1,0,0,1,0,0
23,1.0,1.0,3.0,7.0,11,1.0,0.0,4.0,0.0,1.0,4.0,60.5,5.0,0.579,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,2.0,36.0,6.0,3.5,1.0,61.4,2.0,3.75,0,0,0,0,0,1,0,0,1,0,0
24,1.0,1.0,3.0,2.0,9,2.0,8.0,4.0,0.0,1.0,3.0,54.64,5.0,1.252,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,33.0,6.0,3.25,1.0,63.04,1.0,3.25,0,0,0,0,0,1,0,0,1,0,0
25,1.0,1.0,1.0,7.0,11,1.0,4.0,3.0,1.0,0.0,4.0,61.03,5.0,0.579,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,3.0,33.0,5.0,3.5,1.0,61.78,1.0,3.5,1,1,0,0,0,0,0,0,1,0,0
26,1.0,5.0,3.0,8.0,9,2.0,7.0,3.0,1.0,1.0,4.0,49.28,5.0,1.189,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,0.0,31.0,4.0,2.75,1.0,48.26,2.0,3.25,1,0,0,0,0,1,0,0,1,0,1
27,1.0,1.0,2.0,4.0,8,0.0,3.0,4.0,0.0,1.0,4.0,68.74,5.0,2.349,2,0.0,0.0,98.0,2.0,0.0,0.0,0.0,3.0,33.0,6.0,3.25,1.0,62.83,1.0,3.0,0,0,0,0,0,1,0,0,1,0,1
28,1.0,1.0,3.0,4.0,10,0.0,3.0,4.0,0.0,1.0,3.0,66.87,5.0,0.579,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,30.0,6.0,3.75,1.0,68.85,2.0,3.75,1,0,0,0,0,1,0,0,1,0,0
29,1.0,1.0,3.0,4.0,10,1.0,1.0,3.0,0.0,0.0,2.0,52.38,5.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,24.0,4.0,2.0,0.0,55.2,1.0,2.25,1,0,0,0,0,1,0,0,1,0,0
30,1.0,1.0,3.0,4.0,10,2.0,4.0,3.0,0.0,1.0,4.0,58.01,5.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,38.0,6.0,2.75,1.0,60.35,2.0,3.0,0,0,0,0,0,1,0,0,1,0,0
31,1.0,1.0,3.0,7.0,10,2.0,4.0,4.0,0.0,1.0,4.0,59.85,5.0,0.324,2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,33.0,5.0,3.5,0.0,68.43,2.0,3.5,1,0,0,0,0,1,0,0,1,0,1
32,1.0,1.0,3.0,8.0,9,2.0,0.0,3.0,0.0,1.0,3.0,56.94,5.0,0.324,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,33.0,6.0,3.75,1.0,58.9,1.0,3.75,0,0,0,0,0,1,0,0,1,0,1
33,1.0,2.0,3.0,2.0,4,1.0,4.0,2.0,0.0,1.0,3.0,51.57,5.0,0.324,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,33.0,5.0,3.25,0.0,56.54,1.0,3.5,1,0,0,0,0,1,0,0,1,0,1
34,1.0,1.0,3.0,3.0,9,2.0,8.0,4.0,0.0,1.0,4.0,51.97,5.0,0.324,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,25.0,5.0,2.75,1.0,51.58,2.0,3.25,0,0,0,0,0,1,0,0,1,0,1
35,1.0,1.0,3.0,5.0,10,0.0,7.0,3.0,1.0,0.0,4.0,40.61,5.0,0.579,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,15.0,3.0,2.0,0.0,42.68,1.0,2.25,1,0,0,0,0,1,0,0,1,0,0
36,1.0,1.0,3.0,5.0,10,2.0,3.0,3.0,0.0,1.0,3.0,51.88,5.0,0.579,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,32.0,4.0,2.75,1.0,58.43,1.0,2.75,1,0,0,0,0,1,0,0,1,0,1
37,1.0,1.0,3.0,6.0,10,2.0,2.0,2.0,0.0,1.0,3.0,48.64,5.0,0.934,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,31.0,4.0,3.0,0.0,48.99,2.0,2.5,1,0,0,0,0,1,0,0,1,0,0
38,1.0,3.0,3.0,4.0,10,0.0,9.0,1.0,0.0,0.0,3.0,49.8,5.0,0.934,2,1.0,0.0,98.0,0.0,0.0,2.0,0.0,0.0,35.0,5.0,2.5,0.0,49.69,2.0,2.25,0,0,0,0,0,1,0,0,1,0,1
39,0.0,1.0,2.0,7.0,10,2.0,0.0,4.0,0.0,1.0,4.0,71.07,5.0,0.324,2,1.0,0.0,98.0,0.0,0.0,0.0,0.0,1.0,26.0,4.0,2.5,1.0,72.41,2.0,3.0,0,1,0,0,0,0,0,0,1,0,1
40,1.0,1.0,3.0,5.0,11,1.0,4.0,4.0,0.0,1.0,3.0,63.64,5.0,1.607,2,1.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,2.25,1.0,63.41,1.0,2.75,1,0,0,0,0,1,0,0,1,0,0
41,1.0,1.0,3.0,4.0,9,2.0,4.0,2.0,0.0,1.0,4.0,51.32,5.0,0.324,2,1.0,0.0,98.0,1.0,0.0,0.0,0.0,1.0,31.0,4.0,3.25,1.0,50.34,2.0,3.5,1,0,0,0,0,1,0,0,1,0,0
42,0.0,2.0,1.0,6.0,12,2.0,2.0,3.0,0.0,0.0,4.0,53.71,5.0,0.997,2,1.0,0.0,98.0,1.0,0.0,0.0,0.0,1.0,30.0,5.0,3.75,1.0,63.36,2.0,3.25,0,0,0,1,0,0,0,0,1,0,0
43,1.0,1.0,3.0,3.0,11,0.0,2.0,3.0,0.0,1.0,4.0,60.11,5.0,0.324,2,1.0,0.0,98.0,1.0,0.0,0.0,0.0,2.0,33.0,5.0,3.25,1.0,51.98,2.0,3.25,1,0,0,0,0,1,0,0,1,0,1
44,1.0,1.0,3.0,6.0,10,2.0,2.0,4.0,0.0,1.0,4.0,66.16,5.0,0.069,2,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,2.25,1.0,62.16,2.0,2.5,0,0,0,0,0,1,0,0,1,0,0
45,0.0,1.0,3.0,3.0,9,1.0,1.0,2.0,0.0,1.0,4.0,50.45,5.0,0.579,2,2.0,0.0,98.0,0.0,0.0,0.0,0.0,2.0,28.0,4.0,3.25,0.0,53.76,1.0,2.75,1,0,0,0,0,1,0,0,1,0,0
46,1.0,1.0,3.0,6.0,10,2.0,0.0,3.0,0.0,1.0,4.0,60.71,5.0,1.421,2,2.0,0.0,98.0,0.0,0.0,0.0,0.0,2.0,32.0,5.0,3.25,1.0,61.89,2.0,3.25,1,0,0,0,0,1,0,0,1,0,0
47,1.0,2.0,3.0,5.0,11,0.0,4.0,1.0,0.0,1.0,4.0,69.21,5.0,0.934,2,0.0,0.0,97.0,0.0,0.0,0.0,3.0,4.0,35.0,5.0,3.5,1.0,55.38,2.0,3.5,1,0,0,0,0,0,0,0,1,0,0
48,1.0,1.0,3.0,2.0,10,2.0,4.0,1.0,0.0,1.0,5.0,61.95,5.0,0.324,2,0.0,0.0,97.0,0.0,0.0,0.0,3.0,1.0,32.0,4.0,3.25,0.0,59.19,2.0,2.75,0,0,0,0,0,1,0,0,1,0,0
49,1.0,1.0,3.0,6.0,8,2.0,4.0,2.0,0.0,1.0,5.0,30.0,5.0,0.997,2,1.0,0.0,83.0,17.0,0.0,0.0,0.0,1.0,30.0,3.0,3.25,1.0,39.95,2.0,3.25,1,0,0,0,0,1,0,0,1,0,1
